"Story","Title","Result","Date","Stability","Duration (s)"
"Valida aplicacao","Valida o status de aplicacao Cashlink","ERROR","2018-05-15T14:08:40.161-03:00","0.0","45.43"
"Valida aplicacao","Valida o status de aplicacao Catman","ERROR","2018-05-15T14:04:57.868-03:00","0.0","83.33"
"Valida aplicacao","Valida o status de aplicacao Catman-Ice","ERROR","2018-05-15T14:07:09.303-03:00","0.0","45.31"
"Valida aplicacao","Valida o status de aplicacao CoachingUFS","ERROR","2018-05-15T14:14:08.581-03:00","0.0","45.61"
"Valida aplicacao","Valida o status de aplicacao Efetividade","ERROR","2018-05-15T14:07:54.621-03:00","0.0","45.54"
"Valida aplicacao","Valida o status de aplicacao Eldoc_MV","ERROR","2018-05-15T14:09:25.649-03:00","0.0","45.66"
"Valida aplicacao","Valida o status de aplicacao Eldoc_MV_Lojas_Fisicas","ERROR","2018-05-15T14:10:11.309-03:00","0.0","45.73"
"Valida aplicacao","Valida o status de aplicacao Execução","ERROR","2018-05-15T14:15:40.651-03:00","0.0","45.33"
"Valida aplicacao","Valida o status de aplicacao Kelex","ERROR","2018-05-15T14:10:57.043-03:00","0.0","51.96"
"Valida aplicacao","Valida o status de aplicacao Pine","ERROR","2018-05-15T14:06:22.891-03:00","0.0","46.4"
"Valida aplicacao","Valida o status de aplicacao SERD","ERROR","2018-05-15T14:12:34.508-03:00","0.0","45.71"
"Valida aplicacao","Valida o status de aplicacao Sistema_GPC","ERROR","2018-05-15T14:11:49.009-03:00","0.0","45.5"
"Valida aplicacao","Valida o status de aplicacao Suvinil","ERROR","2018-05-15T14:13:20.219-03:00","0.0","48.36"
"Valida aplicacao","Valida o status de aplicacao Tobias","ERROR","2018-05-15T14:16:25.983-03:00","0.0","46.48"
"Valida aplicacao","Valida o status de aplicacao Vortex","ERROR","2018-05-15T14:14:54.203-03:00","0.0","46.44"
