"Story","Title","Result","Date","Stability","Duration (s)"
"Atendimento cliente recibo troca pedido ag faturamento","Efetua o recebimento do pedido","SKIPPED","2018-08-24T14:34:04.611-03:00[America/Sao_Paulo]","0.0","0.0"
"Atendimento cliente recibo troca pedido ag faturamento","Efetua o recebimento do pedido feito com recibo de troca","SKIPPED","2018-08-24T14:34:04.623-03:00[America/Sao_Paulo]","0.0","0.0"
"Atendimento cliente recibo troca pedido deposito ag faturamento","Efetua o recebimento do pedido","SKIPPED","2018-08-24T14:27:04.676-03:00[America/Sao_Paulo]","0.0","0.0"
"Atendimento cliente recibo troca pedido deposito ag faturamento","Efetua o recebimento do pedido feito com recibo de troca","SKIPPED","2018-08-24T14:27:04.704-03:00[America/Sao_Paulo]","0.0","0.0"
"Atendimento cliente recibo troca pedido deposito faturado","Efetua o recebimento do pedido","SKIPPED","2018-08-24T14:27:05.989-03:00[America/Sao_Paulo]","0.0","0.0"
"Atendimento cliente recibo troca pedido deposito faturado","Efetua o recebimento do pedido feito com recibo de troca","SKIPPED","2018-08-24T14:27:06.068-03:00[America/Sao_Paulo]","0.0","0.0"
"Atendimento cliente recibo troca pedido faturado","Efetua o recebimento do pedido","SKIPPED","2018-08-24T14:37:01.564-03:00[America/Sao_Paulo]","0.0","0.0"
"Atendimento cliente recibo troca pedido faturado","Efetua o recebimento do pedido feito com recibo de troca","SKIPPED","2018-08-24T14:37:01.584-03:00[America/Sao_Paulo]","0.0","0.0"
"Atendimento cliente recibo troca pedido loja financiado sem reversao","Efetua o recebimento do pedido","SKIPPED","2018-08-24T14:25:42.561-03:00[America/Sao_Paulo]","0.0","0.01"
"Atendimento cliente recibo troca pedido loja financiado sem reversao","Efetua o recebimento do pedido feito com recibo de troca","SKIPPED","2018-08-24T14:25:42.646-03:00[America/Sao_Paulo]","0.0","0.0"
"Atendimento cliente troca simplificada deposito","Efetua o recebimento do pedido","SKIPPED","2018-08-24T14:27:11.827-03:00[America/Sao_Paulo]","0.0","0.0"
"Atendimento cliente troca simplificada loja","Efetua o recebimento do pedido","SKIPPED","2018-08-24T14:27:04.924-03:00[America/Sao_Paulo]","0.0","0.0"
"Devolucao parcial pedido cartao","Controle de Faturamento PDV","SKIPPED","2018-08-24T14:27:10.308-03:00[America/Sao_Paulo]","0.0","0.0"
"Troca um servico","Elaborar um pedido a vista","SKIPPED","2018-08-24T14:38:14.442-03:00[America/Sao_Paulo]","0.0","0.0"
