"Story","Title","Result","Date","Stability","Duration (s)"
"Cadastro grupo acesso aprovacao","Cadastrar um grupo de acesso- UC006 - Fluxo Principal","SKIPPED","2018-08-24T14:25:46.706-03:00[America/Sao_Paulo]","0.0","0.0"
"Cadastro grupo acesso aprovacao","Pesquisar/Editar um grupo de acesso","SKIPPED","2018-08-24T14:25:46.712-03:00[America/Sao_Paulo]","0.0","0.0"
"Cadastro grupo acesso tratativa","Cadastrar Associação tratativa x Grupo de Acesso x Regras - UC012","SKIPPED","2018-08-24T14:27:06.902-03:00[America/Sao_Paulo]","0.0","0.0"
"Cadastro grupo acesso tratativa","Editar Associação tratativa x Grupo de Acesso x Regras","SKIPPED","2018-08-24T14:27:06.909-03:00[America/Sao_Paulo]","0.0","0.0"
"Cadastro grupo acesso tratativa","Excluir Associação tratativa x Grupo de Acesso x Regras","SKIPPED","2018-08-24T14:27:06.915-03:00[America/Sao_Paulo]","0.0","0.0"
"Cadastro motivo atendimento","Cadastrar motivos de atendimento - UC014","SKIPPED","2018-08-24T14:25:47.329-03:00[America/Sao_Paulo]","0.0","0.0"
"Cadastro motivo atendimento","Cadastrar motivos de atendimento jah existente","SKIPPED","2018-08-24T14:25:47.334-03:00[America/Sao_Paulo]","0.0","0.0"
"Cadastro motivo atendimento","Pesquisar/Editar motivo de atendimento","SKIPPED","2018-08-24T14:25:47.341-03:00[America/Sao_Paulo]","0.0","0.0"
"Cadastro motivo atendimento","Pesquisar/Excluir motivo de atendimento","SKIPPED","2018-08-24T14:25:47.348-03:00[America/Sao_Paulo]","0.0","0.0"
"Cadastro percentual plus","Cria pedido para validar percentual plus calculado para o vendedor","SKIPPED","2018-08-24T14:27:12.978-03:00[America/Sao_Paulo]","0.0","0.0"
"Cadastro regra data base","Cadastrar uma regra data base - UC004 - Fluxo Principal","SKIPPED","2018-08-24T14:27:08.744-03:00[America/Sao_Paulo]","0.0","0.0"
"Cadastro regra data base","Cadastrar uma regra data base ja existente","SKIPPED","2018-08-24T14:27:08.747-03:00[America/Sao_Paulo]","0.0","0.0"
"Cadastro regra data base","Pesquisar/Editar uma regra data base","SKIPPED","2018-08-24T14:27:08.75-03:00[America/Sao_Paulo]","0.0","0.0"
"Cadastro regra data base","Pesquisar/Excluir uma regra data base","SKIPPED","2018-08-24T14:27:08.754-03:00[America/Sao_Paulo]","0.0","0.0"
"Cadastro regra linha produto","Cadastrar uma regra linha de produto - UC002 - Fluxo Principal","SKIPPED","2018-08-24T14:34:05.098-03:00[America/Sao_Paulo]","0.0","0.0"
